trajectory_idx,trajectory_name,model_name,rollout_type,start_coords,goal_coords,gt_length,pred_steps,reached_goal,frechet_km,mean_prob,elapsed_ms,pred_grid_path,gt_grid_path
10,689491f4-d3ce-437e-8b93-7dbf1e204a56,xgb_coarse_simple_cisc,cisc,"(16, 50)","(21, 37)",53,21,True,5840.197755185525,0.9289737850427627,908.2941000815481,"[[16, 50], [16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [16, 46], [16, 45], [17, 45], [17, 44], [17, 43], [17, 42], [17, 41], [18, 41], [18, 40], [18, 39], [19, 39], [19, 38], [20, 38], [20, 37], [21, 37]]","[[16, 50], [16, 49], [17, 49], [17, 48], [16, 48], [16, 47], [15, 47], [15, 46], [14, 46], [14, 45], [14, 44], [13, 44], [13, 43], [13, 42], [12, 42], [12, 41], [11, 41], [11, 40], [11, 39], [10, 39], [10, 38], [10, 37], [10, 36], [10, 35], [10, 34], [11, 34], [11, 33], [12, 33], [12, 32], [13, 32], [13, 31], [14, 31], [14, 30], [15, 30], [16, 30], [16, 29], [17, 29], [17, 28], [18, 28], [19, 28], [20, 28], [20, 29], [21, 29], [21, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37]]"
11,d139e44d-7a1d-42b0-85a6-7bf183ddebea,xgb_coarse_simple_cisc,cisc,"(21, 11)","(21, 53)",25,27,True,1204.9927407382556,0.8850392126120054,974.0795998368412,"[[21, 11], [21, 10], [21, 9], [22, 9], [22, 8], [22, 7], [23, 7], [23, 6], [23, 5], [23, 4], [23, 3], [23, 2], [23, 1], [23, 0], [23, 63], [23, 62], [23, 61], [23, 60], [23, 59], [23, 58], [23, 57], [23, 56], [22, 56], [22, 55], [22, 54], [21, 54], [21, 53]]","[[21, 11], [21, 10], [21, 9], [21, 8], [22, 8], [22, 7], [22, 6], [22, 5], [22, 4], [22, 3], [22, 2], [22, 1], [22, 0], [22, 63], [22, 62], [22, 61], [22, 60], [22, 59], [22, 58], [21, 58], [21, 57], [21, 56], [21, 55], [21, 54], [21, 53]]"
12,c15e0b7e-cedc-4b8e-9e15-b30213abda6d,xgb_coarse_simple_cisc,cisc,"(19, 51)","(18, 49)",8,6,True,586.1978963401234,0.8829290390014648,200.7692998740822,"[[19, 51], [18, 51], [17, 51], [17, 50], [17, 49], [18, 49]]","[[19, 51], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50], [17, 49], [18, 49]]"
13,c1f56d8f-3f1b-4e70-9015-2f7d6a61be9d,xgb_coarse_simple_cisc,cisc,"(21, 11)","(19, 4)",10,10,True,0.0,0.9194977813296847,296.3316000532359,"[[21, 11], [21, 10], [21, 9], [21, 8], [21, 7], [20, 7], [20, 6], [20, 5], [20, 4], [19, 4]]","[[21, 11], [21, 10], [21, 9], [21, 8], [21, 7], [20, 7], [20, 6], [20, 5], [20, 4], [19, 4]]"
14,b795f20d-5779-48c4-9a47-7b3071121dbb,xgb_coarse_simple_cisc,cisc,"(22, 53)","(22, 56)",6,6,True,0.0,0.9520747184753418,151.1288001202047,"[[22, 53], [21, 53], [21, 54], [21, 55], [21, 56], [22, 56]]","[[22, 53], [21, 53], [21, 54], [21, 55], [21, 56], [22, 56]]"
15,da2acb53-02bd-4ac1-8481-6ebff5866e0f,xgb_coarse_simple_cisc,cisc,"(16, 49)","(19, 44)",9,9,True,624.3494368675101,0.9355989545583725,271.78919990547,"[[16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [17, 45], [18, 45], [18, 44], [19, 44]]","[[16, 49], [16, 48], [17, 48], [17, 47], [17, 46], [17, 45], [18, 45], [18, 44], [19, 44]]"
16,fe6af177-8f6c-4b0e-b8cf-80bdd1edceb8,xgb_coarse_simple_cisc,cisc,"(11, 58)","(22, 53)",21,19,True,586.3020510617911,0.8806829286946191,671.0604000836611,"[[11, 58], [11, 59], [12, 59], [12, 58], [13, 58], [14, 58], [14, 57], [15, 57], [16, 57], [16, 56], [17, 56], [18, 56], [18, 55], [19, 55], [19, 54], [20, 54], [21, 54], [21, 53], [22, 53]]","[[11, 58], [11, 59], [11, 58], [11, 59], [12, 59], [12, 58], [13, 58], [14, 58], [14, 57], [15, 57], [16, 57], [16, 56], [17, 56], [18, 56], [18, 55], [19, 55], [20, 55], [20, 54], [21, 54], [21, 53], [22, 53]]"
17,204d50e4-5d87-4486-9bb6-0e20b2a0c845,xgb_coarse_simple_cisc,cisc,"(12, 63)","(20, 51)",23,21,True,625.5278933130984,0.8780987530946731,717.703300062567,"[[12, 63], [13, 63], [13, 62], [14, 62], [15, 62], [16, 62], [17, 62], [17, 61], [17, 60], [17, 59], [17, 58], [17, 57], [18, 57], [18, 56], [18, 55], [18, 54], [19, 54], [19, 53], [19, 52], [19, 51], [20, 51]]","[[12, 63], [13, 63], [13, 62], [14, 62], [15, 62], [16, 62], [17, 62], [17, 61], [17, 60], [16, 60], [17, 60], [17, 59], [17, 58], [17, 57], [18, 57], [18, 56], [18, 55], [18, 54], [19, 54], [19, 53], [19, 52], [19, 51], [20, 51]]"
18,afb63ebc-fa8a-498d-87f9-cf5a7d0e7472,xgb_coarse_simple_cisc,cisc,"(17, 18)","(21, 54)",37,33,True,1250.9444405394609,0.8620801521465182,1335.868600057438,"[[17, 18], [17, 17], [17, 16], [18, 16], [18, 15], [18, 14], [19, 14], [19, 13], [19, 12], [20, 12], [20, 11], [21, 11], [21, 10], [21, 9], [21, 8], [21, 7], [21, 6], [21, 5], [21, 4], [21, 3], [21, 2], [21, 1], [21, 0], [21, 63], [21, 62], [21, 61], [21, 60], [21, 59], [21, 58], [21, 57], [21, 56], [21, 55], [21, 54]]","[[17, 18], [17, 17], [17, 16], [17, 15], [18, 15], [18, 14], [18, 13], [19, 13], [19, 12], [20, 12], [20, 11], [20, 10], [21, 10], [21, 9], [21, 8], [22, 8], [22, 7], [22, 6], [22, 5], [22, 4], [23, 4], [23, 3], [23, 2], [22, 2], [22, 1], [22, 0], [22, 63], [22, 62], [22, 61], [22, 60], [22, 59], [21, 59], [21, 58], [21, 57], [21, 56], [21, 55], [21, 54]]"
19,9a37beae-694b-464e-9886-1c8b41cd9f72,xgb_coarse_simple_cisc,cisc,"(19, 19)","(16, 50)",49,49,True,881.7539460659424,0.8209718251600862,2047.3309999797493,"[[19, 19], [19, 20], [18, 20], [18, 21], [18, 22], [17, 22], [17, 23], [16, 23], [16, 24], [16, 25], [15, 25], [15, 26], [15, 27], [14, 27], [13, 27], [13, 28], [13, 29], [12, 29], [12, 30], [11, 30], [11, 31], [11, 32], [10, 32], [10, 33], [10, 34], [10, 35], [10, 36], [10, 37], [10, 38], [10, 39], [10, 40], [11, 40], [11, 41], [11, 42], [12, 42], [12, 43], [13, 43], [13, 44], [14, 44], [14, 45], [14, 46], [15, 46], [16, 46], [17, 46], [17, 47], [17, 48], [17, 49], [16, 49], [16, 50]]","[[19, 19], [19, 20], [18, 20], [18, 21], [18, 22], [17, 22], [17, 23], [16, 23], [16, 24], [16, 25], [15, 25], [15, 26], [14, 26], [14, 27], [13, 27], [13, 28], [13, 29], [12, 29], [12, 30], [11, 30], [11, 31], [11, 32], [10, 32], [10, 33], [10, 34], [10, 35], [10, 36], [10, 37], [10, 38], [10, 39], [10, 40], [11, 40], [11, 41], [11, 42], [12, 42], [12, 43], [13, 43], [13, 44], [14, 44], [14, 45], [15, 45], [15, 46], [15, 47], [16, 47], [16, 48], [17, 48], [16, 48], [16, 49], [16, 50]]"
