trajectory_idx,trajectory_name,model_name,rollout_type,start_coords,goal_coords,gt_length,pred_steps,reached_goal,frechet_km,mean_prob,elapsed_ms,pred_grid_path,gt_grid_path
34,8244bb5e-d604-424e-9446-7af4dc599cbf,shortest_path,dijkstra,"(16, 49)","(19, 44)",9,9,True,1250.9447586711374,,0.4685001913458109,"[[16, 49], [17, 49], [17, 48], [18, 48], [18, 47], [19, 47], [19, 46], [19, 45], [19, 44]]","[[16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [17, 45], [18, 45], [18, 44], [19, 44]]"
35,217c8d6f-b189-4161-a72d-3debd9644164,shortest_path,dijkstra,"(16, 50)","(18, 53)",6,6,True,0.0,,0.2816000487655401,"[[16, 50], [17, 50], [17, 51], [18, 51], [18, 52], [18, 53]]","[[16, 50], [17, 50], [17, 51], [18, 51], [18, 52], [18, 53]]"
36,09b8c629-f1af-4ecf-92cd-4efba9cb3c82,shortest_path,dijkstra,"(18, 53)","(21, 54)",5,5,True,0.0,,0.25100004859268665,"[[18, 53], [19, 53], [20, 53], [21, 53], [21, 54]]","[[18, 53], [19, 53], [20, 53], [21, 53], [21, 54]]"
37,a96359c5-0e52-4e40-9550-2e97f8e6bc05,shortest_path,dijkstra,"(25, 2)","(22, 56)",16,14,True,625.4165472263625,,1.1898998636752367,"[[25, 2], [25, 1], [25, 0], [25, 63], [25, 62], [25, 61], [25, 60], [25, 59], [24, 59], [24, 58], [23, 58], [23, 57], [22, 57], [22, 56]]","[[25, 2], [25, 1], [25, 0], [25, 63], [25, 62], [25, 61], [25, 60], [24, 60], [24, 59], [24, 58], [23, 58], [23, 57], [22, 57], [22, 56], [21, 56], [22, 56]]"
38,89e600c7-4a28-42ec-896b-c7bd2069e50c,shortest_path,dijkstra,"(21, 54)","(24, 10)",26,26,True,1250.9446526272452,,1.2161999475210905,"[[21, 54], [22, 54], [22, 55], [23, 55], [23, 56], [24, 56], [24, 57], [25, 57], [25, 58], [25, 59], [25, 60], [25, 61], [25, 62], [25, 63], [25, 0], [25, 1], [25, 2], [25, 3], [25, 4], [25, 5], [25, 6], [25, 7], [25, 8], [25, 9], [24, 9], [24, 10]]","[[21, 54], [22, 54], [22, 55], [22, 56], [23, 56], [23, 57], [23, 58], [23, 59], [23, 60], [23, 61], [24, 61], [24, 62], [24, 63], [24, 0], [24, 1], [24, 2], [25, 2], [25, 3], [25, 4], [25, 5], [25, 6], [24, 6], [24, 7], [24, 8], [24, 9], [24, 10]]"
39,4510be2c-8542-4e85-9cfe-9b61e580f7e0,shortest_path,dijkstra,"(22, 56)","(22, 53)",6,4,True,625.4165472263625,,0.18660002388060093,"[[22, 56], [22, 55], [22, 54], [22, 53]]","[[22, 56], [21, 56], [21, 55], [21, 54], [21, 53], [22, 53]]"
40,6e485f32-54a0-4fc4-9823-8ffef1420bde,shortest_path,dijkstra,"(17, 45)","(23, 20)",46,32,True,6479.327964619548,,2.6728000957518816,"[[17, 45], [18, 45], [18, 44], [18, 43], [18, 42], [18, 41], [18, 40], [18, 39], [19, 39], [19, 38], [20, 38], [21, 38], [21, 37], [22, 37], [22, 36], [23, 36], [23, 35], [23, 34], [23, 33], [23, 32], [23, 31], [23, 30], [23, 29], [23, 28], [23, 27], [23, 26], [23, 25], [23, 24], [23, 23], [23, 22], [23, 21], [23, 20]]","[[17, 45], [16, 45], [16, 44], [15, 44], [15, 43], [15, 42], [14, 42], [14, 41], [14, 40], [13, 40], [13, 39], [12, 39], [12, 38], [11, 38], [11, 37], [10, 37], [10, 36], [10, 35], [10, 34], [10, 33], [11, 33], [11, 32], [12, 32], [12, 31], [13, 31], [13, 30], [14, 30], [14, 29], [15, 29], [15, 28], [16, 28], [17, 28], [17, 27], [18, 27], [18, 26], [19, 26], [19, 25], [20, 25], [20, 24], [21, 24], [21, 23], [21, 22], [22, 22], [22, 21], [23, 21], [23, 20]]"
41,9c88dee7-3358-4fd0-a9eb-f518ae1f2a05,shortest_path,dijkstra,"(20, 18)","(17, 18)",6,4,True,586.3012559876005,,0.23140013217926025,"[[20, 18], [19, 18], [18, 18], [17, 18]]","[[20, 18], [19, 18], [19, 19], [19, 18], [18, 18], [17, 18]]"
42,6ee0be85-aa3b-4485-9b33-cc519271dd81,shortest_path,dijkstra,"(24, 32)","(23, 20)",16,14,True,458.12621830597794,,1.0104000102728605,"[[24, 32], [24, 31], [24, 30], [24, 29], [24, 28], [24, 27], [24, 26], [24, 25], [24, 24], [24, 23], [24, 22], [24, 21], [23, 21], [23, 20]]","[[24, 32], [24, 31], [24, 30], [24, 29], [24, 28], [24, 29], [24, 28], [24, 27], [24, 26], [24, 25], [24, 24], [24, 23], [24, 22], [23, 22], [23, 21], [23, 20]]"
43,cba5b126-e90d-41d9-bc1e-cde0683d8372,shortest_path,dijkstra,"(23, 20)","(20, 18)",6,6,True,0.0,,0.28019980527460575,"[[23, 20], [22, 20], [22, 19], [21, 19], [21, 18], [20, 18]]","[[23, 20], [22, 20], [22, 19], [21, 19], [21, 18], [20, 18]]"
44,bbbf8797-0df4-41f9-ac7b-5113dde289e1,shortest_path,dijkstra,"(19, 46)","(16, 49)",7,7,True,624.3494368675101,,0.27849990874528885,"[[19, 46], [18, 46], [18, 47], [17, 47], [17, 48], [16, 48], [16, 49]]","[[19, 46], [18, 46], [18, 47], [18, 48], [17, 48], [17, 49], [16, 49]]"
45,e185c320-348e-484a-a896-f162b1769d35,shortest_path,dijkstra,"(17, 50)","(20, 52)",6,6,True,617.5772408874416,,0.24359999224543571,"[[17, 50], [18, 50], [19, 50], [19, 51], [20, 51], [20, 52]]","[[17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [20, 52]]"
46,d84d6843-1b26-4b60-b783-d200e2e64181,shortest_path,dijkstra,"(16, 50)","(19, 52)",6,6,True,617.5772408874416,,0.25659985840320587,"[[16, 50], [17, 50], [18, 50], [18, 51], [19, 51], [19, 52]]","[[16, 50], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52]]"
47,2b276873-c6d0-4159-be58-186e1e42ae65,shortest_path,dijkstra,"(16, 49)","(21, 52)",11,9,True,1235.0078699049434,,0.41390000842511654,"[[16, 49], [17, 49], [18, 49], [19, 49], [19, 50], [19, 51], [20, 51], [20, 52], [21, 52]]","[[16, 49], [16, 50], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [20, 52], [20, 53], [21, 53], [21, 52]]"
48,b54a1ffd-7038-481c-b504-2be014853217,shortest_path,dijkstra,"(20, 52)","(17, 50)",6,6,True,617.5772408874416,,0.24860003031790257,"[[20, 52], [19, 52], [19, 51], [18, 51], [18, 50], [17, 50]]","[[20, 52], [19, 52], [19, 51], [18, 51], [17, 51], [17, 50]]"
49,4dd00d7f-729d-489b-9498-0891351a99f7,shortest_path,dijkstra,"(18, 49)","(19, 51)",8,4,True,1250.9447586711374,,0.15989993698894978,"[[18, 49], [19, 49], [19, 50], [19, 51]]","[[18, 49], [17, 49], [17, 50], [17, 51], [18, 51], [19, 51], [19, 52], [19, 51]]"
